bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
01,8,13,Oct-80,2,26,1020,3853,0,0,0,0,0,0,0
02,25,70,5 -200,2,231,20593,70218,0,0,0,0,1137,45,0
03,14,32,5-300,2,93,16145,51234,0,0,0,0,2192,27,0
04,18,44,5-360,2,134,7833,27607,0,0,0,0,2945,40,0
05,10,14,5-200,1,26,1496,6271,0,0,0,0,0,0,0
06,11,24,May-90,2,49,1424,6025,0,0,0,0,2,0,0
07,15,26,10-190,2,59,3060,8068,0,0,0,0,183,6,0
08,13,26,10 - 120,2,82,11671,31921,2,0,0,0,198,4,0
09,16,31,5 - 170,2,72,5041,15331,0,0,0,0,751,9,0
10,11,20,10 - 100,2,53,1160,3840,0,0,0,0,0,0,0
11,15,29,5 - 150,2,80,2148,8209,0,0,0,0,352,3,0
