bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
01,14,31,10 s.d 70 cm,2 hari,58,135,453,0,0,0,0,0,0,n.a
02,15,25,10 s.d 135 cm ,1 hari,43,398,1186,0,0,0,0,0,0,n.a
03,23,43,10 s.d 100 cm,2 hari,119,315,1010,0,0,0,0,85,2,n.a
04,17,34,10 s.d 250 cm ,1 hari,94,2915,8851,2,0,0,0,3600,23,n.a
05,5,7,10 s.d 100 cm ,1 hari,15,150,355,0,0,0,0,0,0,n.a
06,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
07,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
08,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
09,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
10,5,7,10 s/d 100 cm,1 hari,16,391,1203,0,0,0,0,0,0,n.a
11,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
12,11,20,15 s/d 100 cm,1 hari,41,316,1601,0,0,0,0,0,0,n.a
