bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
01,35,124, 10 - 400  ,15,2414,506164,1226487,38,0,0,0,83554,1115,0
02,15,34, 10 - 175  ,8,207,19177,46865,0,0,0,0,740,21,0
03,5,9, 10 - 250  ,2,68,9215,27020,0,0,0,0,2406,34,0
04,10,16, 10 - 100  ,4,66,6004,15060,0,0,0,0,318,7,0
05,10,16, 0 - 160  ,3,139,4740,18481,0,0,0,0,1245,42,0
06,3,4, 0 - 150  ,7,37,0,0,0,0,0,0,,0,0
07,6,10, 10 - 180  ,4,56,8270,22537,0,0,0,0,443,8,0
08,7,12, 20 - 300  ,3,55,11735,32427,0,0,0,0,536,12,0
09,,,,,,,,,,,,,,0
10,5,5, 20 - 100  ,3,16,1969,5420,0,0,0,0,0,0,0
11,9,16, 10 - 100  ,6,87,6491,18367,2,0,0,0,86,8,0
12,11,17, 10 - 200  ,4,78,4584,13814,0,0,0,0,1585,3,0
