bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
01,15,36,10 - 150 ,2,221,6095,13073,0,0,0,0,3255,59,0
02,38,133,10 - 200 ,7,615,64458,231566,5,0,0,0,41202,337,0
03,12,15,10 - 200 ,4,30,2869,8119,0,0,0,0,822,5,0
04,4,6,20 - 100 ,3,18,2235,7905,0,0,0,0,0,0,0
05,1,1,20 - 100 ,1,7,423,2088,0,0,0,0,0,0,0
06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,11,20 - 300 ,4,36,3858,13195,0,0,0,0,534,8,0
12,12,15, 10 - 60,4,28,1698,6192,0,0,0,0,0,0,0
